episode_id,case,slice_name,seed,policy,status
agenttrace_dep_s20_uncertainty_matched,dependency_sensitive,dependency_sensitive,20,uncertainty_only_matched_budget,done
agenttrace_dep_s20_harm,dependency_sensitive,dependency_sensitive,20,harm_aware_selective,done
agenttrace_dep_s21_uncertainty_matched,dependency_sensitive,dependency_sensitive,21,uncertainty_only_matched_budget,done
agenttrace_dep_s21_harm,dependency_sensitive,dependency_sensitive,21,harm_aware_selective,done
agenttrace_dep_s23_uncertainty_matched,dependency_sensitive,dependency_sensitive,23,uncertainty_only_matched_budget,done
agenttrace_dep_s23_harm,dependency_sensitive,dependency_sensitive,23,harm_aware_selective,done
agenttrace_dep_s30_uncertainty_matched,dependency_sensitive,dependency_sensitive,30,uncertainty_only_matched_budget,done
agenttrace_dep_s30_harm,dependency_sensitive,dependency_sensitive,30,harm_aware_selective,done
agenttrace_dep_s34_uncertainty_matched,dependency_sensitive,dependency_sensitive,34,uncertainty_only_matched_budget,done
agenttrace_dep_s34_harm,dependency_sensitive,dependency_sensitive,34,harm_aware_selective,done
agenttrace_dep_s36_uncertainty_matched,dependency_sensitive,dependency_sensitive,36,uncertainty_only_matched_budget,done
agenttrace_dep_s36_harm,dependency_sensitive,dependency_sensitive,36,harm_aware_selective,done
agenttrace_dep_s58_uncertainty_matched,dependency_sensitive,dependency_sensitive,58,uncertainty_only_matched_budget,done
agenttrace_dep_s58_harm,dependency_sensitive,dependency_sensitive,58,harm_aware_selective,done
agenttrace_dep_s62_uncertainty_matched,dependency_sensitive,dependency_sensitive,62,uncertainty_only_matched_budget,done
agenttrace_dep_s62_harm,dependency_sensitive,dependency_sensitive,62,harm_aware_selective,done
agenttrace_dep_s68_uncertainty_matched,dependency_sensitive,dependency_sensitive,68,uncertainty_only_matched_budget,done
agenttrace_dep_s68_harm,dependency_sensitive,dependency_sensitive,68,harm_aware_selective,done
agenttrace_dep_s69_uncertainty_matched,dependency_sensitive,dependency_sensitive,69,uncertainty_only_matched_budget,done
agenttrace_dep_s69_harm,dependency_sensitive,dependency_sensitive,69,harm_aware_selective,done
