episode_id,case,policy,seed,verify_used,corrected,success,irreversible_failure,verification_cost,net_reward,realized_reward,public_risk_label,public_risk_score,branch_harm_exact,reward_wrong_continuation,reward_corrected_continuation,reversibility,coupling_strength,mode,final_action,policy_score,p_score,harm_score,p_times_H_score,downstream_dependency_count,rollback_difficulty,persistent_state_risk,estimated_harm_score,downstream_failure_penalty,harm_profile,uncertainty_threshold,harm_threshold,random_verify_prob,notes
revision_table5_ablation_dep300_dep_s20_p_only,dependency_sensitive,p_only,20,0,0,0,1,0.0,-24.8,-24.8,low,0.342,34.0,-24.8,9.2,partially_reversible,strong,direct,risky_patch,0.342,0.342,1.0,0.342,8,0.75,1,1.0,14.0,dependency_structural,0.457,0.28204125,0.5,"Ablation p_only: p >= 0.4570. p=0.3420, verify=False"
revision_table5_ablation_dep300_dep_s20_H_only,dependency_sensitive,H_only,20,1,1,1,0,0.5,9.2,9.2,low,0.342,34.0,-24.8,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.342,1.0,0.342,8,0.75,1,1.0,14.0,dependency_structural,0.457,0.28204125,0.5,"Ablation H_only: H >= 0.2820. H=1.0000, verify=True"
revision_table5_ablation_dep300_dep_s20_pH,dependency_sensitive,p_times_H,20,1,1,1,0,0.5,9.2,9.2,low,0.342,34.0,-24.8,9.2,partially_reversible,strong,verify_then_decide,safe_edit,0.342,0.342,1.0,0.342,8,0.75,1,1.0,14.0,dependency_structural,0.457,0.28204125,0.5,"Ablation p_times_H: p*H >= 0.2820. score=0.3420, verify=True"
revision_table5_ablation_dep300_dep_s21_p_only,dependency_sensitive,p_only,21,0,0,0,1,0.0,-21.44,-21.44,medium,0.401,30.64,-21.44,9.2,partially_reversible,strong,direct,risky_patch,0.401,0.401,0.72,0.28872000000000003,1,1.0,1,0.72,10.64,dependency_structural,0.457,0.28204125,0.5,"Ablation p_only: p >= 0.4570. p=0.4010, verify=False"
revision_table5_ablation_dep300_dep_s21_H_only,dependency_sensitive,H_only,21,1,1,1,0,0.5,9.2,9.2,medium,0.401,30.64,-21.44,9.2,partially_reversible,strong,verify_then_decide,safe_edit,0.72,0.401,0.72,0.28872000000000003,1,1.0,1,0.72,10.64,dependency_structural,0.457,0.28204125,0.5,"Ablation H_only: H >= 0.2820. H=0.7200, verify=True"
revision_table5_ablation_dep300_dep_s21_pH,dependency_sensitive,p_times_H,21,1,1,1,0,0.5,9.2,9.2,medium,0.401,30.64,-21.44,9.2,partially_reversible,strong,verify_then_decide,safe_edit,0.28872000000000003,0.401,0.72,0.28872000000000003,1,1.0,1,0.72,10.64,dependency_structural,0.457,0.28204125,0.5,"Ablation p_times_H: p*H >= 0.2820. score=0.2887, verify=True"
revision_table5_ablation_dep300_dep_s22_p_only,dependency_sensitive,p_only,22,0,0,1,0,0.0,5.6,5.6,low,0.321,3.5999999999999996,5.6,9.2,partially_reversible,strong,direct,risky_patch,0.321,0.321,0.5975,0.1917975,3,0.25,1,0.5975,9.17,dependency_structural,0.457,0.28204125,0.5,"Ablation p_only: p >= 0.4570. p=0.3210, verify=False"
revision_table5_ablation_dep300_dep_s22_H_only,dependency_sensitive,H_only,22,1,1,1,0,0.5,9.2,9.2,low,0.321,3.5999999999999996,5.6,9.2,partially_reversible,strong,verify_then_decide,safe_edit,0.5975,0.321,0.5975,0.1917975,3,0.25,1,0.5975,9.17,dependency_structural,0.457,0.28204125,0.5,"Ablation H_only: H >= 0.2820. H=0.5975, verify=True"
revision_table5_ablation_dep300_dep_s22_pH,dependency_sensitive,p_times_H,22,0,0,1,0,0.0,5.6,5.6,low,0.321,3.5999999999999996,5.6,9.2,partially_reversible,strong,direct,risky_patch,0.1917975,0.321,0.5975,0.1917975,3,0.25,1,0.5975,9.17,dependency_structural,0.457,0.28204125,0.5,"Ablation p_times_H: p*H >= 0.2820. score=0.1918, verify=False"
revision_table5_ablation_dep300_dep_s23_p_only,dependency_sensitive,p_only,23,1,1,1,0,0.5,9.2,9.2,medium,0.555,31.27,-22.07,9.2,partially_reversible,strong,verify_then_decide,safe_edit,0.555,0.555,0.7725,0.4287375,3,0.75,1,0.7725,11.27,dependency_structural,0.457,0.28204125,0.5,"Ablation p_only: p >= 0.4570. p=0.5550, verify=True"
revision_table5_ablation_dep300_dep_s23_H_only,dependency_sensitive,H_only,23,1,1,1,0,0.5,9.2,9.2,medium,0.555,31.27,-22.07,9.2,partially_reversible,strong,verify_then_decide,safe_edit,0.7725,0.555,0.7725,0.4287375,3,0.75,1,0.7725,11.27,dependency_structural,0.457,0.28204125,0.5,"Ablation H_only: H >= 0.2820. H=0.7725, verify=True"
revision_table5_ablation_dep300_dep_s23_pH,dependency_sensitive,p_times_H,23,1,1,1,0,0.5,9.2,9.2,medium,0.555,31.27,-22.07,9.2,partially_reversible,strong,verify_then_decide,safe_edit,0.4287375,0.555,0.7725,0.4287375,3,0.75,1,0.7725,11.27,dependency_structural,0.457,0.28204125,0.5,"Ablation p_times_H: p*H >= 0.2820. score=0.4287, verify=True"
revision_table5_ablation_dep300_dep_s24_p_only,dependency_sensitive,p_only,24,0,0,1,0,0.0,9.2,9.2,medium,0.418,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.418,0.418,0.345,0.14420999999999998,1,0.5,0,0.345,6.14,dependency_structural,0.457,0.28204125,0.5,"Ablation p_only: p >= 0.4570. p=0.4180, verify=False"
revision_table5_ablation_dep300_dep_s24_H_only,dependency_sensitive,H_only,24,1,0,1,0,0.5,9.2,9.2,medium,0.418,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,0.345,0.418,0.345,0.14420999999999998,1,0.5,0,0.345,6.14,dependency_structural,0.457,0.28204125,0.5,"Ablation H_only: H >= 0.2820. H=0.3450, verify=True"
revision_table5_ablation_dep300_dep_s24_pH,dependency_sensitive,p_times_H,24,0,0,1,0,0.0,9.2,9.2,medium,0.418,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.14420999999999998,0.418,0.345,0.14420999999999998,1,0.5,0,0.345,6.14,dependency_structural,0.457,0.28204125,0.5,"Ablation p_times_H: p*H >= 0.2820. score=0.1442, verify=False"
revision_table5_ablation_dep300_dep_s25_p_only,dependency_sensitive,p_only,25,0,0,1,0,0.0,9.2,9.2,low,0.222,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.222,0.222,0.52,0.11544,1,1.0,0,0.52,8.24,dependency_structural,0.457,0.28204125,0.5,"Ablation p_only: p >= 0.4570. p=0.2220, verify=False"
revision_table5_ablation_dep300_dep_s25_H_only,dependency_sensitive,H_only,25,1,0,1,0,0.5,9.2,9.2,low,0.222,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,0.52,0.222,0.52,0.11544,1,1.0,0,0.52,8.24,dependency_structural,0.457,0.28204125,0.5,"Ablation H_only: H >= 0.2820. H=0.5200, verify=True"
revision_table5_ablation_dep300_dep_s25_pH,dependency_sensitive,p_times_H,25,0,0,1,0,0.0,9.2,9.2,low,0.222,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.11544,0.222,0.52,0.11544,1,1.0,0,0.52,8.24,dependency_structural,0.457,0.28204125,0.5,"Ablation p_times_H: p*H >= 0.2820. score=0.1154, verify=False"
revision_table5_ablation_dep300_dep_s26_p_only,dependency_sensitive,p_only,26,1,1,1,0,0.5,9.2,9.2,medium,0.53,3.5999999999999996,5.6,9.2,partially_reversible,strong,verify_then_decide,safe_edit,0.53,0.53,0.3275,0.173575,2,0.25,0,0.3275,5.93,dependency_structural,0.457,0.28204125,0.5,"Ablation p_only: p >= 0.4570. p=0.5300, verify=True"
revision_table5_ablation_dep300_dep_s26_H_only,dependency_sensitive,H_only,26,1,1,1,0,0.5,9.2,9.2,medium,0.53,3.5999999999999996,5.6,9.2,partially_reversible,strong,verify_then_decide,safe_edit,0.3275,0.53,0.3275,0.173575,2,0.25,0,0.3275,5.93,dependency_structural,0.457,0.28204125,0.5,"Ablation H_only: H >= 0.2820. H=0.3275, verify=True"
revision_table5_ablation_dep300_dep_s26_pH,dependency_sensitive,p_times_H,26,0,0,1,0,0.0,5.6,5.6,medium,0.53,3.5999999999999996,5.6,9.2,partially_reversible,strong,direct,risky_patch,0.173575,0.53,0.3275,0.173575,2,0.25,0,0.3275,5.93,dependency_structural,0.457,0.28204125,0.5,"Ablation p_times_H: p*H >= 0.2820. score=0.1736, verify=False"
revision_table5_ablation_dep300_dep_s27_p_only,dependency_sensitive,p_only,27,1,1,1,0,0.5,9.2,9.2,medium,0.503,3.5999999999999996,5.6,9.2,partially_reversible,strong,verify_then_decide,safe_edit,0.503,0.503,0.6325,0.31814749999999997,1,0.75,1,0.6325,9.59,dependency_structural,0.457,0.28204125,0.5,"Ablation p_only: p >= 0.4570. p=0.5030, verify=True"
revision_table5_ablation_dep300_dep_s27_H_only,dependency_sensitive,H_only,27,1,1,1,0,0.5,9.2,9.2,medium,0.503,3.5999999999999996,5.6,9.2,partially_reversible,strong,verify_then_decide,safe_edit,0.6325,0.503,0.6325,0.31814749999999997,1,0.75,1,0.6325,9.59,dependency_structural,0.457,0.28204125,0.5,"Ablation H_only: H >= 0.2820. H=0.6325, verify=True"
revision_table5_ablation_dep300_dep_s27_pH,dependency_sensitive,p_times_H,27,1,1,1,0,0.5,9.2,9.2,medium,0.503,3.5999999999999996,5.6,9.2,partially_reversible,strong,verify_then_decide,safe_edit,0.31814749999999997,0.503,0.6325,0.31814749999999997,1,0.75,1,0.6325,9.59,dependency_structural,0.457,0.28204125,0.5,"Ablation p_times_H: p*H >= 0.2820. score=0.3181, verify=True"
revision_table5_ablation_dep300_dep_s28_p_only,dependency_sensitive,p_only,28,1,1,1,0,0.5,9.2,9.2,medium,0.652,3.5999999999999996,5.6,9.2,partially_reversible,strong,verify_then_decide,safe_edit,0.652,0.652,0.3975,0.25917,3,0.25,0,0.3975,6.77,dependency_structural,0.457,0.28204125,0.5,"Ablation p_only: p >= 0.4570. p=0.6520, verify=True"
revision_table5_ablation_dep300_dep_s28_H_only,dependency_sensitive,H_only,28,1,1,1,0,0.5,9.2,9.2,medium,0.652,3.5999999999999996,5.6,9.2,partially_reversible,strong,verify_then_decide,safe_edit,0.3975,0.652,0.3975,0.25917,3,0.25,0,0.3975,6.77,dependency_structural,0.457,0.28204125,0.5,"Ablation H_only: H >= 0.2820. H=0.3975, verify=True"
revision_table5_ablation_dep300_dep_s28_pH,dependency_sensitive,p_times_H,28,0,0,1,0,0.0,5.6,5.6,medium,0.652,3.5999999999999996,5.6,9.2,partially_reversible,strong,direct,risky_patch,0.25917,0.652,0.3975,0.25917,3,0.25,0,0.3975,6.77,dependency_structural,0.457,0.28204125,0.5,"Ablation p_times_H: p*H >= 0.2820. score=0.2592, verify=False"
revision_table5_ablation_dep300_dep_s29_p_only,dependency_sensitive,p_only,29,0,0,1,0,0.0,9.2,9.2,medium,0.402,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.402,0.402,0.485,0.19497,3,0.5,0,0.485,7.82,dependency_structural,0.457,0.28204125,0.5,"Ablation p_only: p >= 0.4570. p=0.4020, verify=False"
revision_table5_ablation_dep300_dep_s29_H_only,dependency_sensitive,H_only,29,1,0,1,0,0.5,9.2,9.2,medium,0.402,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,0.485,0.402,0.485,0.19497,3,0.5,0,0.485,7.82,dependency_structural,0.457,0.28204125,0.5,"Ablation H_only: H >= 0.2820. H=0.4850, verify=True"
revision_table5_ablation_dep300_dep_s29_pH,dependency_sensitive,p_times_H,29,0,0,1,0,0.0,9.2,9.2,medium,0.402,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.19497,0.402,0.485,0.19497,3,0.5,0,0.485,7.82,dependency_structural,0.457,0.28204125,0.5,"Ablation p_times_H: p*H >= 0.2820. score=0.1950, verify=False"
revision_table5_ablation_dep300_dep_s30_p_only,dependency_sensitive,p_only,30,0,0,0,1,0.0,-16.94,-16.94,low,0.291,26.14,-16.94,9.2,partially_reversible,strong,direct,risky_patch,0.291,0.291,0.345,0.10039499999999998,1,0.5,0,0.345,6.14,dependency_structural,0.457,0.28204125,0.5,"Ablation p_only: p >= 0.4570. p=0.2910, verify=False"
revision_table5_ablation_dep300_dep_s30_H_only,dependency_sensitive,H_only,30,1,1,1,0,0.5,9.2,9.2,low,0.291,26.14,-16.94,9.2,partially_reversible,strong,verify_then_decide,safe_edit,0.345,0.291,0.345,0.10039499999999998,1,0.5,0,0.345,6.14,dependency_structural,0.457,0.28204125,0.5,"Ablation H_only: H >= 0.2820. H=0.3450, verify=True"
revision_table5_ablation_dep300_dep_s30_pH,dependency_sensitive,p_times_H,30,0,0,0,1,0.0,-16.94,-16.94,low,0.291,26.14,-16.94,9.2,partially_reversible,strong,direct,risky_patch,0.10039499999999998,0.291,0.345,0.10039499999999998,1,0.5,0,0.345,6.14,dependency_structural,0.457,0.28204125,0.5,"Ablation p_times_H: p*H >= 0.2820. score=0.1004, verify=False"
revision_table5_ablation_dep300_dep_s31_p_only,dependency_sensitive,p_only,31,0,0,1,0,0.0,9.2,9.2,low,0.272,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.272,0.272,0.52,0.14144,1,1.0,0,0.52,8.24,dependency_structural,0.457,0.28204125,0.5,"Ablation p_only: p >= 0.4570. p=0.2720, verify=False"
revision_table5_ablation_dep300_dep_s31_H_only,dependency_sensitive,H_only,31,1,0,1,0,0.5,9.2,9.2,low,0.272,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,0.52,0.272,0.52,0.14144,1,1.0,0,0.52,8.24,dependency_structural,0.457,0.28204125,0.5,"Ablation H_only: H >= 0.2820. H=0.5200, verify=True"
revision_table5_ablation_dep300_dep_s31_pH,dependency_sensitive,p_times_H,31,0,0,1,0,0.0,9.2,9.2,low,0.272,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.14144,0.272,0.52,0.14144,1,1.0,0,0.52,8.24,dependency_structural,0.457,0.28204125,0.5,"Ablation p_times_H: p*H >= 0.2820. score=0.1414, verify=False"
