episode_id,case,slice_name,seed,policy,status
revision_table5_ablation_dep300_dep_s20_p_only,dependency_sensitive,dependency_sensitive,20,p_only,done
revision_table5_ablation_dep300_dep_s20_H_only,dependency_sensitive,dependency_sensitive,20,H_only,done
revision_table5_ablation_dep300_dep_s20_pH,dependency_sensitive,dependency_sensitive,20,p_times_H,done
revision_table5_ablation_dep300_dep_s21_p_only,dependency_sensitive,dependency_sensitive,21,p_only,done
revision_table5_ablation_dep300_dep_s21_H_only,dependency_sensitive,dependency_sensitive,21,H_only,done
revision_table5_ablation_dep300_dep_s21_pH,dependency_sensitive,dependency_sensitive,21,p_times_H,done
revision_table5_ablation_dep300_dep_s22_p_only,dependency_sensitive,dependency_sensitive,22,p_only,done
revision_table5_ablation_dep300_dep_s22_H_only,dependency_sensitive,dependency_sensitive,22,H_only,done
revision_table5_ablation_dep300_dep_s22_pH,dependency_sensitive,dependency_sensitive,22,p_times_H,done
revision_table5_ablation_dep300_dep_s23_p_only,dependency_sensitive,dependency_sensitive,23,p_only,done
revision_table5_ablation_dep300_dep_s23_H_only,dependency_sensitive,dependency_sensitive,23,H_only,done
revision_table5_ablation_dep300_dep_s23_pH,dependency_sensitive,dependency_sensitive,23,p_times_H,done
revision_table5_ablation_dep300_dep_s24_p_only,dependency_sensitive,dependency_sensitive,24,p_only,done
revision_table5_ablation_dep300_dep_s24_H_only,dependency_sensitive,dependency_sensitive,24,H_only,done
revision_table5_ablation_dep300_dep_s24_pH,dependency_sensitive,dependency_sensitive,24,p_times_H,done
revision_table5_ablation_dep300_dep_s25_p_only,dependency_sensitive,dependency_sensitive,25,p_only,done
revision_table5_ablation_dep300_dep_s25_H_only,dependency_sensitive,dependency_sensitive,25,H_only,done
revision_table5_ablation_dep300_dep_s25_pH,dependency_sensitive,dependency_sensitive,25,p_times_H,done
revision_table5_ablation_dep300_dep_s26_p_only,dependency_sensitive,dependency_sensitive,26,p_only,done
revision_table5_ablation_dep300_dep_s26_H_only,dependency_sensitive,dependency_sensitive,26,H_only,done
revision_table5_ablation_dep300_dep_s26_pH,dependency_sensitive,dependency_sensitive,26,p_times_H,done
revision_table5_ablation_dep300_dep_s27_p_only,dependency_sensitive,dependency_sensitive,27,p_only,done
revision_table5_ablation_dep300_dep_s27_H_only,dependency_sensitive,dependency_sensitive,27,H_only,done
revision_table5_ablation_dep300_dep_s27_pH,dependency_sensitive,dependency_sensitive,27,p_times_H,done
revision_table5_ablation_dep300_dep_s28_p_only,dependency_sensitive,dependency_sensitive,28,p_only,done
revision_table5_ablation_dep300_dep_s28_H_only,dependency_sensitive,dependency_sensitive,28,H_only,done
revision_table5_ablation_dep300_dep_s28_pH,dependency_sensitive,dependency_sensitive,28,p_times_H,done
revision_table5_ablation_dep300_dep_s29_p_only,dependency_sensitive,dependency_sensitive,29,p_only,done
revision_table5_ablation_dep300_dep_s29_H_only,dependency_sensitive,dependency_sensitive,29,H_only,done
revision_table5_ablation_dep300_dep_s29_pH,dependency_sensitive,dependency_sensitive,29,p_times_H,done
revision_table5_ablation_dep300_dep_s30_p_only,dependency_sensitive,dependency_sensitive,30,p_only,done
revision_table5_ablation_dep300_dep_s30_H_only,dependency_sensitive,dependency_sensitive,30,H_only,done
revision_table5_ablation_dep300_dep_s30_pH,dependency_sensitive,dependency_sensitive,30,p_times_H,done
revision_table5_ablation_dep300_dep_s31_p_only,dependency_sensitive,dependency_sensitive,31,p_only,done
revision_table5_ablation_dep300_dep_s31_H_only,dependency_sensitive,dependency_sensitive,31,H_only,done
revision_table5_ablation_dep300_dep_s31_pH,dependency_sensitive,dependency_sensitive,31,p_times_H,done
revision_table5_ablation_dep300_dep_s32_p_only,dependency_sensitive,dependency_sensitive,32,p_only,done
revision_table5_ablation_dep300_dep_s32_H_only,dependency_sensitive,dependency_sensitive,32,H_only,done
revision_table5_ablation_dep300_dep_s32_pH,dependency_sensitive,dependency_sensitive,32,p_times_H,done
revision_table5_ablation_dep300_dep_s33_p_only,dependency_sensitive,dependency_sensitive,33,p_only,done
revision_table5_ablation_dep300_dep_s33_H_only,dependency_sensitive,dependency_sensitive,33,H_only,done
revision_table5_ablation_dep300_dep_s33_pH,dependency_sensitive,dependency_sensitive,33,p_times_H,done
revision_table5_ablation_dep300_dep_s34_p_only,dependency_sensitive,dependency_sensitive,34,p_only,done
revision_table5_ablation_dep300_dep_s34_H_only,dependency_sensitive,dependency_sensitive,34,H_only,done
revision_table5_ablation_dep300_dep_s34_pH,dependency_sensitive,dependency_sensitive,34,p_times_H,done
revision_table5_ablation_dep300_dep_s35_p_only,dependency_sensitive,dependency_sensitive,35,p_only,done
revision_table5_ablation_dep300_dep_s35_H_only,dependency_sensitive,dependency_sensitive,35,H_only,done
revision_table5_ablation_dep300_dep_s35_pH,dependency_sensitive,dependency_sensitive,35,p_times_H,done
revision_table5_ablation_dep300_dep_s36_p_only,dependency_sensitive,dependency_sensitive,36,p_only,done
revision_table5_ablation_dep300_dep_s36_H_only,dependency_sensitive,dependency_sensitive,36,H_only,done
revision_table5_ablation_dep300_dep_s36_pH,dependency_sensitive,dependency_sensitive,36,p_times_H,done
revision_table5_ablation_dep300_dep_s37_p_only,dependency_sensitive,dependency_sensitive,37,p_only,done
revision_table5_ablation_dep300_dep_s37_H_only,dependency_sensitive,dependency_sensitive,37,H_only,done
revision_table5_ablation_dep300_dep_s37_pH,dependency_sensitive,dependency_sensitive,37,p_times_H,done
revision_table5_ablation_dep300_dep_s38_p_only,dependency_sensitive,dependency_sensitive,38,p_only,done
revision_table5_ablation_dep300_dep_s38_H_only,dependency_sensitive,dependency_sensitive,38,H_only,done
