episode_id,case,policy,seed,verify_used,corrected,success,irreversible_failure,verification_cost,net_reward,realized_reward,public_risk_label,public_risk_score,branch_harm_exact,reward_wrong_continuation,reward_corrected_continuation,reversibility,coupling_strength,mode,final_action,policy_score,p_score,harm_score,p_times_H_score,downstream_dependency_count,rollback_difficulty,persistent_state_risk,estimated_harm_score,downstream_failure_penalty,harm_profile,uncertainty_threshold,harm_threshold,random_verify_prob,notes
revision_table5_exactTopB150_repl_H_only_s22,dependency_sensitive,H_only,22,0,0,1,0,0.0,5.6,5.6,low,0.321,3.5999999999999996,5.6,9.2,partially_reversible,strong,direct,risky_patch,0.5975,0.321,0.5975,0.1917975,3,0.25,1,0.5975,9.17,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.5975, verify=False"
revision_table5_exactTopB150_repl_H_only_s24,dependency_sensitive,H_only,24,0,0,1,0,0.0,9.2,9.2,medium,0.418,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.345,0.418,0.345,0.14420999999999998,1,0.5,0,0.345,6.14,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.3450, verify=False"
revision_table5_exactTopB150_repl_H_only_s25,dependency_sensitive,H_only,25,0,0,1,0,0.0,9.2,9.2,low,0.222,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.52,0.222,0.52,0.11544,1,1.0,0,0.52,8.24,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.5200, verify=False"
revision_table5_exactTopB150_repl_H_only_s26,dependency_sensitive,H_only,26,0,0,1,0,0.0,5.6,5.6,medium,0.53,3.5999999999999996,5.6,9.2,partially_reversible,strong,direct,risky_patch,0.3275,0.53,0.3275,0.173575,2,0.25,0,0.3275,5.93,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.3275, verify=False"
revision_table5_exactTopB150_repl_H_only_s27,dependency_sensitive,H_only,27,0,0,1,0,0.0,5.6,5.6,medium,0.503,3.5999999999999996,5.6,9.2,partially_reversible,strong,direct,risky_patch,0.6325,0.503,0.6325,0.31814749999999997,1,0.75,1,0.6325,9.59,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.6325, verify=False"
revision_table5_exactTopB150_repl_H_only_s28,dependency_sensitive,H_only,28,0,0,1,0,0.0,5.6,5.6,medium,0.652,3.5999999999999996,5.6,9.2,partially_reversible,strong,direct,risky_patch,0.3975,0.652,0.3975,0.25917,3,0.25,0,0.3975,6.77,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.3975, verify=False"
revision_table5_exactTopB150_repl_H_only_s29,dependency_sensitive,H_only,29,0,0,1,0,0.0,9.2,9.2,medium,0.402,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.485,0.402,0.485,0.19497,3,0.5,0,0.485,7.82,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.4850, verify=False"
revision_table5_exactTopB150_repl_H_only_s30,dependency_sensitive,H_only,30,0,0,0,1,0.0,-16.94,-16.94,low,0.291,26.14,-16.94,9.2,partially_reversible,strong,direct,risky_patch,0.345,0.291,0.345,0.10039499999999998,1,0.5,0,0.345,6.14,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.3450, verify=False"
revision_table5_exactTopB150_repl_H_only_s31,dependency_sensitive,H_only,31,0,0,1,0,0.0,9.2,9.2,low,0.272,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.52,0.272,0.52,0.14144,1,1.0,0,0.52,8.24,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.5200, verify=False"
revision_table5_exactTopB150_repl_H_only_s37,dependency_sensitive,H_only,37,0,0,1,0,0.0,5.6,5.6,low,0.332,3.5999999999999996,5.6,9.2,partially_reversible,strong,direct,risky_patch,0.545,0.332,0.545,0.18094000000000002,1,0.5,1,0.545,8.54,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.5450, verify=False"
