episode_id,case,policy,seed,verify_used,corrected,success,irreversible_failure,verification_cost,net_reward,realized_reward,public_risk_label,public_risk_score,branch_harm_exact,reward_wrong_continuation,reward_corrected_continuation,reversibility,coupling_strength,mode,final_action,policy_score,p_score,harm_score,p_times_H_score,downstream_dependency_count,rollback_difficulty,persistent_state_risk,estimated_harm_score,downstream_failure_penalty,harm_profile,uncertainty_threshold,harm_threshold,random_verify_prob,notes
revision_table7_cor_tightB150_repl_harm_aware_selective_s20,corruption_prone,harm_aware_selective,20,0,0,0,1,0.0,-28.8,-28.8,medium,0.522,38.0,-28.8,9.2,irreversible,strong,direct,risky_patch,0.522,0.522,1.0,0.522,8,1.0,1,1.0,18.0,corruption_structural,1.1,1.1,0.5,"Harm-aware rule: p_score * harm_score >= 1.1000. p=0.5220, H=1.0000, score=0.5220, verify=False"
revision_table7_cor_tightB150_repl_harm_aware_selective_s21,corruption_prone,harm_aware_selective,21,0,0,0,1,0.0,-28.8,-28.8,medium,0.581,38.0,-28.8,9.2,irreversible,strong,direct,risky_patch,0.581,0.581,1.0,0.581,5,0.75,1,1.0,18.0,corruption_structural,1.1,1.1,0.5,"Harm-aware rule: p_score * harm_score >= 1.1000. p=0.5810, H=1.0000, score=0.5810, verify=False"
revision_table7_cor_tightB150_repl_harm_aware_selective_s22,corruption_prone,harm_aware_selective,22,0,0,0,1,0.0,-28.8,-28.8,medium,0.501,38.0,-28.8,9.2,irreversible,strong,direct,risky_patch,0.501,0.501,1.0,0.501,8,1.0,1,1.0,18.0,corruption_structural,1.1,1.1,0.5,"Harm-aware rule: p_score * harm_score >= 1.1000. p=0.5010, H=1.0000, score=0.5010, verify=False"
revision_table7_corruption_tightB150_cor_s23_harm,corruption_prone,harm_aware_selective,23,1,1,1,0,0.5,9.2,9.2,high,0.735,38.0,-28.8,9.2,irreversible,strong,verify_then_decide,safe_edit,0.735,0.735,1.0,0.735,5,0.75,1,1.0,18.0,corruption_structural,0.457,0.28204125,0.5,"Harm-aware rule: p_score * harm_score >= 0.2820. p=0.7350, H=1.0000, score=0.7350, verify=True"
revision_table7_cor_tightB150_repl_harm_aware_selective_s24,corruption_prone,harm_aware_selective,24,0,0,0,1,0.0,-28.8,-28.8,medium,0.598,38.0,-28.8,9.2,irreversible,strong,direct,risky_patch,0.598,0.598,1.0,0.598,13,0.75,1,1.0,18.0,corruption_structural,1.1,1.1,0.5,"Harm-aware rule: p_score * harm_score >= 1.1000. p=0.5980, H=1.0000, score=0.5980, verify=False"
revision_table7_cor_tightB150_repl_harm_aware_selective_s25,corruption_prone,harm_aware_selective,25,0,0,1,0,0.0,9.2,9.2,medium,0.402,0.0,9.2,9.2,irreversible,strong,direct,risky_patch,0.402,0.402,1.0,0.402,5,0.75,1,1.0,18.0,corruption_structural,1.1,1.1,0.5,"Harm-aware rule: p_score * harm_score >= 1.1000. p=0.4020, H=1.0000, score=0.4020, verify=False"
revision_table7_corruption_tightB150_cor_s26_harm,corruption_prone,harm_aware_selective,26,1,1,1,0,0.5,9.2,9.2,high,0.71,38.0,-28.8,9.2,irreversible,strong,verify_then_decide,safe_edit,0.71,0.71,1.0,0.71,13,0.75,1,1.0,18.0,corruption_structural,0.457,0.28204125,0.5,"Harm-aware rule: p_score * harm_score >= 0.2820. p=0.7100, H=1.0000, score=0.7100, verify=True"
revision_table7_corruption_tightB150_cor_s27_harm,corruption_prone,harm_aware_selective,27,1,1,1,0,0.5,9.2,9.2,medium,0.683,38.0,-28.8,9.2,irreversible,strong,verify_then_decide,safe_edit,0.683,0.683,1.0,0.683,13,0.75,1,1.0,18.0,corruption_structural,0.457,0.28204125,0.5,"Harm-aware rule: p_score * harm_score >= 0.2820. p=0.6830, H=1.0000, score=0.6830, verify=True"
revision_table7_corruption_tightB150_cor_s28_harm,corruption_prone,harm_aware_selective,28,1,1,1,0,0.5,9.2,9.2,high,0.832,38.0,-28.8,9.2,irreversible,strong,verify_then_decide,safe_edit,0.832,0.832,1.0,0.832,13,1.0,1,1.0,18.0,corruption_structural,0.457,0.28204125,0.5,"Harm-aware rule: p_score * harm_score >= 0.2820. p=0.8320, H=1.0000, score=0.8320, verify=True"
revision_table7_cor_tightB150_repl_harm_aware_selective_s29,corruption_prone,harm_aware_selective,29,0,0,1,0,0.0,9.2,9.2,medium,0.582,0.0,9.2,9.2,irreversible,strong,direct,risky_patch,0.582,0.582,1.0,0.582,8,0.75,1,1.0,18.0,corruption_structural,1.1,1.1,0.5,"Harm-aware rule: p_score * harm_score >= 1.1000. p=0.5820, H=1.0000, score=0.5820, verify=False"
revision_table7_cor_tightB150_repl_harm_aware_selective_s30,corruption_prone,harm_aware_selective,30,0,0,0,1,0.0,-28.8,-28.8,medium,0.471,38.0,-28.8,9.2,irreversible,strong,direct,risky_patch,0.471,0.471,1.0,0.471,5,0.75,1,1.0,18.0,corruption_structural,1.1,1.1,0.5,"Harm-aware rule: p_score * harm_score >= 1.1000. p=0.4710, H=1.0000, score=0.4710, verify=False"
revision_table7_cor_tightB150_repl_harm_aware_selective_s31,corruption_prone,harm_aware_selective,31,0,0,0,1,0.0,-28.8,-28.8,medium,0.452,38.0,-28.8,9.2,irreversible,strong,direct,risky_patch,0.452,0.452,1.0,0.452,13,0.75,1,1.0,18.0,corruption_structural,1.1,1.1,0.5,"Harm-aware rule: p_score * harm_score >= 1.1000. p=0.4520, H=1.0000, score=0.4520, verify=False"
revision_table7_cor_tightB150_repl_harm_aware_selective_s32,corruption_prone,harm_aware_selective,32,0,0,0,1,0.0,-28.8,-28.8,medium,0.536,38.0,-28.8,9.2,irreversible,strong,direct,risky_patch,0.536,0.536,1.0,0.536,8,0.75,1,1.0,18.0,corruption_structural,1.1,1.1,0.5,"Harm-aware rule: p_score * harm_score >= 1.1000. p=0.5360, H=1.0000, score=0.5360, verify=False"
revision_table7_corruption_tightB150_cor_s33_harm,corruption_prone,harm_aware_selective,33,1,1,1,0,0.5,9.2,9.2,high,0.8,38.0,-28.8,9.2,irreversible,strong,verify_then_decide,safe_edit,0.8,0.8,1.0,0.8,5,1.0,1,1.0,18.0,corruption_structural,0.457,0.28204125,0.5,"Harm-aware rule: p_score * harm_score >= 0.2820. p=0.8000, H=1.0000, score=0.8000, verify=True"
revision_table7_corruption_tightB150_cor_s34_harm,corruption_prone,harm_aware_selective,34,1,1,1,0,0.5,9.2,9.2,high,0.894,38.0,-28.8,9.2,irreversible,strong,verify_then_decide,safe_edit,0.894,0.894,1.0,0.894,13,0.75,1,1.0,18.0,corruption_structural,0.457,0.28204125,0.5,"Harm-aware rule: p_score * harm_score >= 0.2820. p=0.8940, H=1.0000, score=0.8940, verify=True"
revision_table7_cor_tightB150_repl_harm_aware_selective_s35,corruption_prone,harm_aware_selective,35,0,0,0,1,0.0,-28.8,-28.8,medium,0.602,38.0,-28.8,9.2,irreversible,strong,direct,risky_patch,0.602,0.602,1.0,0.602,13,0.75,1,1.0,18.0,corruption_structural,1.1,1.1,0.5,"Harm-aware rule: p_score * harm_score >= 1.1000. p=0.6020, H=1.0000, score=0.6020, verify=False"
revision_table7_cor_tightB150_repl_harm_aware_selective_s36,corruption_prone,harm_aware_selective,36,0,0,0,1,0.0,-28.8,-28.8,medium,0.447,38.0,-28.8,9.2,irreversible,strong,direct,risky_patch,0.447,0.447,1.0,0.447,13,0.75,1,1.0,18.0,corruption_structural,1.1,1.1,0.5,"Harm-aware rule: p_score * harm_score >= 1.1000. p=0.4470, H=1.0000, score=0.4470, verify=False"
