episode_id,case,policy,seed,verify_used,corrected,success,irreversible_failure,verification_cost,net_reward,realized_reward,public_risk_label,public_risk_score,branch_harm_exact,reward_wrong_continuation,reward_corrected_continuation,reversibility,coupling_strength,mode,final_action,policy_score,p_score,harm_score,p_times_H_score,downstream_dependency_count,rollback_difficulty,persistent_state_risk,estimated_harm_score,downstream_failure_penalty,harm_profile,uncertainty_threshold,harm_threshold,random_verify_prob,notes
revision_table7_cor_tightB150_repl_uncertainty_only_matched_budget_s20,corruption_prone,uncertainty_only_matched_budget,20,0,0,0,1,0.0,-28.8,-28.8,medium,0.522,38.0,-28.8,9.2,irreversible,strong,direct,risky_patch,0.522,0.522,1.0,0.522,8,1.0,1,1.0,18.0,corruption_structural,1.1,1.1,0.5,"Matched-budget uncertainty-only rule: hint >= 1.1000. score=0.5220, verify=False"
revision_table7_cor_tightB150_repl_harm_aware_selective_s20,corruption_prone,harm_aware_selective,20,0,0,0,1,0.0,-28.8,-28.8,medium,0.522,38.0,-28.8,9.2,irreversible,strong,direct,risky_patch,0.522,0.522,1.0,0.522,8,1.0,1,1.0,18.0,corruption_structural,1.1,1.1,0.5,"Harm-aware rule: p_score * harm_score >= 1.1000. p=0.5220, H=1.0000, score=0.5220, verify=False"
revision_table7_cor_tightB150_repl_uncertainty_only_matched_budget_s21,corruption_prone,uncertainty_only_matched_budget,21,0,0,0,1,0.0,-28.8,-28.8,medium,0.581,38.0,-28.8,9.2,irreversible,strong,direct,risky_patch,0.581,0.581,1.0,0.581,5,0.75,1,1.0,18.0,corruption_structural,1.1,1.1,0.5,"Matched-budget uncertainty-only rule: hint >= 1.1000. score=0.5810, verify=False"
revision_table7_cor_tightB150_repl_harm_aware_selective_s21,corruption_prone,harm_aware_selective,21,0,0,0,1,0.0,-28.8,-28.8,medium,0.581,38.0,-28.8,9.2,irreversible,strong,direct,risky_patch,0.581,0.581,1.0,0.581,5,0.75,1,1.0,18.0,corruption_structural,1.1,1.1,0.5,"Harm-aware rule: p_score * harm_score >= 1.1000. p=0.5810, H=1.0000, score=0.5810, verify=False"
revision_table7_cor_tightB150_repl_uncertainty_only_matched_budget_s22,corruption_prone,uncertainty_only_matched_budget,22,0,0,0,1,0.0,-28.8,-28.8,medium,0.501,38.0,-28.8,9.2,irreversible,strong,direct,risky_patch,0.501,0.501,1.0,0.501,8,1.0,1,1.0,18.0,corruption_structural,1.1,1.1,0.5,"Matched-budget uncertainty-only rule: hint >= 1.1000. score=0.5010, verify=False"
revision_table7_cor_tightB150_repl_harm_aware_selective_s22,corruption_prone,harm_aware_selective,22,0,0,0,1,0.0,-28.8,-28.8,medium,0.501,38.0,-28.8,9.2,irreversible,strong,direct,risky_patch,0.501,0.501,1.0,0.501,8,1.0,1,1.0,18.0,corruption_structural,1.1,1.1,0.5,"Harm-aware rule: p_score * harm_score >= 1.1000. p=0.5010, H=1.0000, score=0.5010, verify=False"
revision_table7_cor_tightB150_repl_uncertainty_only_matched_budget_s24,corruption_prone,uncertainty_only_matched_budget,24,0,0,0,1,0.0,-28.8,-28.8,medium,0.598,38.0,-28.8,9.2,irreversible,strong,direct,risky_patch,0.598,0.598,1.0,0.598,13,0.75,1,1.0,18.0,corruption_structural,1.1,1.1,0.5,"Matched-budget uncertainty-only rule: hint >= 1.1000. score=0.5980, verify=False"
revision_table7_cor_tightB150_repl_harm_aware_selective_s24,corruption_prone,harm_aware_selective,24,0,0,0,1,0.0,-28.8,-28.8,medium,0.598,38.0,-28.8,9.2,irreversible,strong,direct,risky_patch,0.598,0.598,1.0,0.598,13,0.75,1,1.0,18.0,corruption_structural,1.1,1.1,0.5,"Harm-aware rule: p_score * harm_score >= 1.1000. p=0.5980, H=1.0000, score=0.5980, verify=False"
revision_table7_cor_tightB150_repl_harm_aware_selective_s25,corruption_prone,harm_aware_selective,25,0,0,1,0,0.0,9.2,9.2,medium,0.402,0.0,9.2,9.2,irreversible,strong,direct,risky_patch,0.402,0.402,1.0,0.402,5,0.75,1,1.0,18.0,corruption_structural,1.1,1.1,0.5,"Harm-aware rule: p_score * harm_score >= 1.1000. p=0.4020, H=1.0000, score=0.4020, verify=False"
revision_table7_cor_tightB150_repl_uncertainty_only_matched_budget_s29,corruption_prone,uncertainty_only_matched_budget,29,0,0,1,0,0.0,9.2,9.2,medium,0.582,0.0,9.2,9.2,irreversible,strong,direct,risky_patch,0.582,0.582,1.0,0.582,8,0.75,1,1.0,18.0,corruption_structural,1.1,1.1,0.5,"Matched-budget uncertainty-only rule: hint >= 1.1000. score=0.5820, verify=False"
