episode_id,case,policy,seed,verify_used,corrected,success,irreversible_failure,verification_cost,net_reward,realized_reward,public_risk_label,public_risk_score,branch_harm_exact,reward_wrong_continuation,reward_corrected_continuation,reversibility,coupling_strength,mode,final_action,policy_score,p_score,harm_score,p_times_H_score,downstream_dependency_count,rollback_difficulty,persistent_state_risk,estimated_harm_score,downstream_failure_penalty,harm_profile,uncertainty_threshold,harm_threshold,random_verify_prob,notes
revision_jointcal_missing_unverified_s122,dependency_sensitive,no_verify,122,0,0,1,0,0.0,9.2,9.2,medium,0.592,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.0,0.592,0.9125,0.5402,5,0.75,1,0.9125,12.95,dependency_structural,0.6,0.45,0.5,Never verify.
revision_jointcal_missing_unverified_s124,dependency_sensitive,no_verify,124,0,0,1,0,0.0,9.2,9.2,medium,0.671,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.0,0.671,0.9475,0.6357725000000001,8,0.25,1,0.9475,13.37,dependency_structural,0.6,0.45,0.5,Never verify.
revision_jointcal_missing_unverified_s125,dependency_sensitive,no_verify,125,0,0,0,1,0.0,-21.65,-21.65,high,0.743,30.849999999999998,-21.65,9.2,partially_reversible,strong,direct,risky_patch,0.0,0.743,0.7375,0.5479625,5,0.25,1,0.7375,10.85,dependency_structural,0.6,0.45,0.5,Never verify.
revision_jointcal_missing_unverified_s126,dependency_sensitive,no_verify,126,0,0,1,0,0.0,5.6,5.6,high,0.737,3.5999999999999996,5.6,9.2,partially_reversible,strong,direct,risky_patch,0.0,0.737,0.7125,0.5251125,5,0.75,0,0.7125,10.55,dependency_structural,0.6,0.45,0.5,Never verify.
revision_jointcal_missing_verified_s127,dependency_sensitive,always_verify,127,1,0,1,0,0.5,9.2,9.2,low,0.315,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.315,0.6325,0.19923749999999998,1,0.75,1,0.6325,9.59,dependency_structural,0.6,0.45,0.5,Always verify before finalizing.
revision_jointcal_missing_unverified_s129,dependency_sensitive,no_verify,129,0,0,1,0,0.0,9.2,9.2,medium,0.585,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.0,0.585,0.7375,0.4314375,5,0.25,1,0.7375,10.85,dependency_structural,0.6,0.45,0.5,Never verify.
revision_jointcal_missing_verified_s134,dependency_sensitive,always_verify,134,1,0,1,0,0.5,9.2,9.2,medium,0.408,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.408,0.59,0.24071999999999996,2,1.0,0,0.59,9.08,dependency_structural,0.6,0.45,0.5,Always verify before finalizing.
revision_jointcal_missing_verified_s136,dependency_sensitive,always_verify,136,1,1,1,0,0.5,9.2,9.2,low,0.231,26.77,-17.57,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.231,0.3975,0.09182250000000002,3,0.25,0,0.3975,6.77,dependency_structural,0.6,0.45,0.5,Always verify before finalizing.
revision_jointcal_missing_unverified_s137,dependency_sensitive,no_verify,137,0,0,1,0,0.0,9.2,9.2,medium,0.476,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.0,0.476,0.72,0.34271999999999997,1,1.0,1,0.72,10.64,dependency_structural,0.6,0.45,0.5,Never verify.
revision_jointcal_missing_unverified_s138,dependency_sensitive,no_verify,138,0,0,0,1,0.0,-22.4,-22.4,medium,0.688,31.599999999999998,-22.4,9.2,partially_reversible,strong,direct,risky_patch,0.0,0.688,0.8,0.5504,5,1.0,0,0.8,11.6,dependency_structural,0.6,0.45,0.5,Never verify.
revision_jointcal_missing_verified_s141,dependency_sensitive,always_verify,141,1,1,1,0,0.5,9.2,9.2,low,0.386,3.5999999999999996,5.6,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.386,0.4325,0.166945,1,0.75,0,0.4325,7.19,dependency_structural,0.6,0.45,0.5,Always verify before finalizing.
revision_jointcal_missing_verified_s142,dependency_sensitive,always_verify,142,1,1,1,0,0.5,9.2,9.2,low,0.379,28.330000000000002,-19.130000000000003,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.379,0.5275,0.1999225,2,0.25,1,0.5275,8.33,dependency_structural,0.6,0.45,0.5,Always verify before finalizing.
revision_jointcal_missing_verified_s143,dependency_sensitive,always_verify,143,1,1,1,0,0.5,9.2,9.2,medium,0.45,28.24,-19.04,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.45,0.52,0.234,1,1.0,0,0.52,8.24,dependency_structural,0.6,0.45,0.5,Always verify before finalizing.
revision_jointcal_missing_verified_s144,dependency_sensitive,always_verify,144,1,1,1,0,0.5,9.2,9.2,low,0.36,26.14,-16.94,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.36,0.345,0.12419999999999999,1,0.5,0,0.345,6.14,dependency_structural,0.6,0.45,0.5,Always verify before finalizing.
revision_jointcal_missing_unverified_s148,dependency_sensitive,no_verify,148,0,0,0,1,0.0,-22.07,-22.07,high,0.706,31.27,-22.07,9.2,partially_reversible,strong,direct,risky_patch,0.0,0.706,0.7725,0.5453849999999999,3,0.75,1,0.7725,11.27,dependency_structural,0.6,0.45,0.5,Never verify.
revision_jointcal_missing_unverified_s149,dependency_sensitive,no_verify,149,0,0,1,0,0.0,9.2,9.2,medium,0.614,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.0,0.614,0.825,0.50655,5,0.5,1,0.825,11.9,dependency_structural,0.6,0.45,0.5,Never verify.
revision_jointcal_missing_verified_s151,dependency_sensitive,always_verify,151,1,0,1,0,0.5,9.2,9.2,low,0.263,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.263,0.2575,0.0677225,1,0.25,0,0.2575,5.09,dependency_structural,0.6,0.45,0.5,Always verify before finalizing.
revision_jointcal_missing_unverified_s152,dependency_sensitive,no_verify,152,0,0,1,0,0.0,5.6,5.6,medium,0.662,3.5999999999999996,5.6,9.2,partially_reversible,strong,direct,risky_patch,0.0,0.662,0.8,0.5296000000000001,5,1.0,0,0.8,11.6,dependency_structural,0.6,0.45,0.5,Never verify.
revision_jointcal_missing_unverified_s153,dependency_sensitive,no_verify,153,0,0,1,0,0.0,5.6,5.6,medium,0.463,3.5999999999999996,5.6,9.2,partially_reversible,strong,direct,risky_patch,0.0,0.463,0.79,0.36577000000000004,2,1.0,1,0.79,11.48,dependency_structural,0.6,0.45,0.5,Never verify.
revision_jointcal_missing_unverified_s154,dependency_sensitive,no_verify,154,0,0,1,0,0.0,9.2,9.2,high,0.739,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.0,0.739,0.7475,0.5524025,8,0.25,0,0.7475,10.97,dependency_structural,0.6,0.45,0.5,Never verify.
revision_jointcal_missing_unverified_s155,dependency_sensitive,no_verify,155,0,0,0,1,0.0,-21.44,-21.44,high,0.76,30.64,-21.44,9.2,partially_reversible,strong,direct,risky_patch,0.0,0.76,0.72,0.5472,1,1.0,1,0.72,10.64,dependency_structural,0.6,0.45,0.5,Never verify.
revision_jointcal_missing_unverified_s156,dependency_sensitive,no_verify,156,0,0,1,0,0.0,9.2,9.2,medium,0.519,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.0,0.519,0.685,0.355515,3,0.5,1,0.685,10.22,dependency_structural,0.6,0.45,0.5,Never verify.
revision_jointcal_missing_verified_s158,dependency_sensitive,always_verify,158,1,0,1,0,0.5,9.2,9.2,low,0.379,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.379,0.5975,0.2264525,3,0.25,1,0.5975,9.17,dependency_structural,0.6,0.45,0.5,Always verify before finalizing.
revision_jointcal_missing_unverified_s160,dependency_sensitive,no_verify,160,0,0,1,0,0.0,9.2,9.2,medium,0.636,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.0,0.636,0.825,0.5246999999999999,5,0.5,1,0.825,11.9,dependency_structural,0.6,0.45,0.5,Never verify.
revision_jointcal_missing_unverified_s162,dependency_sensitive,no_verify,162,0,0,1,0,0.0,9.2,9.2,high,0.755,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.0,0.755,0.685,0.517175,3,0.5,1,0.685,10.22,dependency_structural,0.6,0.45,0.5,Never verify.
revision_jointcal_missing_verified_s167,dependency_sensitive,always_verify,167,1,0,1,0,0.5,9.2,9.2,low,0.243,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.243,0.5375,0.1306125,5,0.25,0,0.5375,8.45,dependency_structural,0.6,0.45,0.5,Always verify before finalizing.
revision_jointcal_missing_unverified_s169,dependency_sensitive,no_verify,169,0,0,0,1,0.0,-24.8,-24.8,medium,0.499,34.0,-24.8,9.2,partially_reversible,strong,direct,risky_patch,0.0,0.499,1.0,0.499,8,1.0,1,1.0,14.0,dependency_structural,0.6,0.45,0.5,Never verify.
revision_jointcal_missing_verified_s172,dependency_sensitive,always_verify,172,1,0,1,0,0.5,9.2,9.2,low,0.324,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.324,0.5025,0.16280999999999998,2,0.75,0,0.5025,8.03,dependency_structural,0.6,0.45,0.5,Always verify before finalizing.
revision_jointcal_missing_unverified_s173,dependency_sensitive,no_verify,173,0,0,0,1,0.0,-22.07,-22.07,medium,0.667,31.27,-22.07,9.2,partially_reversible,strong,direct,risky_patch,0.0,0.667,0.7725,0.5152575,3,0.75,1,0.7725,11.27,dependency_structural,0.6,0.45,0.5,Never verify.
