episode_id,case,policy,seed,verify_used,corrected,success,irreversible_failure,verification_cost,net_reward,realized_reward,public_risk_label,public_risk_score,branch_harm_exact,reward_wrong_continuation,reward_corrected_continuation,reversibility,coupling_strength,mode,final_action,policy_score,p_score,harm_score,p_times_H_score,downstream_dependency_count,rollback_difficulty,persistent_state_risk,estimated_harm_score,downstream_failure_penalty,harm_profile,uncertainty_threshold,harm_threshold,random_verify_prob,notes
revision_prm_cal_missing_verified_s22,dependency_sensitive,always_verify,22,1,1,1,0,0.5,9.2,9.2,low,0.321,3.5999999999999996,5.6,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.321,0.5975,0.1917975,3,0.25,1,0.5975,9.17,dependency_structural,0.6,0.45,0.5,Always verify before finalizing.
revision_prm_cal_missing_unverified_s23,dependency_sensitive,no_verify,23,0,0,0,1,0.0,-22.07,-22.07,medium,0.555,31.27,-22.07,9.2,partially_reversible,strong,direct,risky_patch,0.0,0.555,0.7725,0.4287375,3,0.75,1,0.7725,11.27,dependency_structural,0.6,0.45,0.5,Never verify.
revision_prm_cal_missing_verified_s24,dependency_sensitive,always_verify,24,1,0,1,0,0.5,9.2,9.2,medium,0.418,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.418,0.345,0.14420999999999998,1,0.5,0,0.345,6.14,dependency_structural,0.6,0.45,0.5,Always verify before finalizing.
revision_prm_cal_missing_verified_s25,dependency_sensitive,always_verify,25,1,0,1,0,0.5,9.2,9.2,low,0.222,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.222,0.52,0.11544,1,1.0,0,0.52,8.24,dependency_structural,0.6,0.45,0.5,Always verify before finalizing.
revision_prm_cal_missing_verified_s29,dependency_sensitive,always_verify,29,1,0,1,0,0.5,9.2,9.2,medium,0.402,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.402,0.485,0.19497,3,0.5,0,0.485,7.82,dependency_structural,0.6,0.45,0.5,Always verify before finalizing.
revision_prm_cal_missing_verified_s30,dependency_sensitive,always_verify,30,1,1,1,0,0.5,9.2,9.2,low,0.291,26.14,-16.94,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.291,0.345,0.10039499999999998,1,0.5,0,0.345,6.14,dependency_structural,0.6,0.45,0.5,Always verify before finalizing.
revision_prm_cal_missing_verified_s31,dependency_sensitive,always_verify,31,1,0,1,0,0.5,9.2,9.2,low,0.272,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.272,0.52,0.14144,1,1.0,0,0.52,8.24,dependency_structural,0.6,0.45,0.5,Always verify before finalizing.
revision_prm_cal_missing_unverified_s33,dependency_sensitive,no_verify,33,0,0,1,0,0.0,9.2,9.2,medium,0.62,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.0,0.62,0.7725,0.47895,3,0.75,1,0.7725,11.27,dependency_structural,0.6,0.45,0.5,Never verify.
revision_prm_cal_missing_unverified_s34,dependency_sensitive,no_verify,34,0,0,0,1,0.0,-22.28,-22.28,high,0.714,31.48,-22.28,9.2,partially_reversible,strong,direct,risky_patch,0.0,0.714,0.79,0.56406,2,1.0,1,0.79,11.48,dependency_structural,0.6,0.45,0.5,Never verify.
revision_prm_cal_missing_verified_s37,dependency_sensitive,always_verify,37,1,1,1,0,0.5,9.2,9.2,low,0.332,3.5999999999999996,5.6,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.332,0.545,0.18094000000000002,1,0.5,1,0.545,8.54,dependency_structural,0.6,0.45,0.5,Always verify before finalizing.
