episode_id,case,policy,seed,notes,status
revision_prm_cal_missing_verified_s22,dependency_sensitive,always_verify,22,PRM baseline missing verified outcome for calibration split.,done
revision_prm_cal_missing_unverified_s23,dependency_sensitive,no_verify,23,PRM baseline missing unverified outcome for calibration split.,done
revision_prm_cal_missing_verified_s24,dependency_sensitive,always_verify,24,PRM baseline missing verified outcome for calibration split.,done
revision_prm_cal_missing_verified_s25,dependency_sensitive,always_verify,25,PRM baseline missing verified outcome for calibration split.,done
revision_prm_cal_missing_verified_s29,dependency_sensitive,always_verify,29,PRM baseline missing verified outcome for calibration split.,done
revision_prm_cal_missing_verified_s30,dependency_sensitive,always_verify,30,PRM baseline missing verified outcome for calibration split.,done
revision_prm_cal_missing_verified_s31,dependency_sensitive,always_verify,31,PRM baseline missing verified outcome for calibration split.,done
revision_prm_cal_missing_unverified_s33,dependency_sensitive,no_verify,33,PRM baseline missing unverified outcome for calibration split.,done
revision_prm_cal_missing_unverified_s34,dependency_sensitive,no_verify,34,PRM baseline missing unverified outcome for calibration split.,done
revision_prm_cal_missing_verified_s37,dependency_sensitive,always_verify,37,PRM baseline missing verified outcome for calibration split.,done
revision_prm_cal_missing_verified_s38,dependency_sensitive,always_verify,38,PRM baseline missing verified outcome for calibration split.,done
revision_prm_cal_missing_unverified_s40,dependency_sensitive,no_verify,40,PRM baseline missing unverified outcome for calibration split.,done
revision_prm_cal_missing_verified_s42,dependency_sensitive,always_verify,42,PRM baseline missing verified outcome for calibration split.,done
revision_prm_cal_missing_verified_s43,dependency_sensitive,always_verify,43,PRM baseline missing verified outcome for calibration split.,done
revision_prm_cal_missing_verified_s44,dependency_sensitive,always_verify,44,PRM baseline missing verified outcome for calibration split.,done
revision_prm_cal_missing_unverified_s46,dependency_sensitive,no_verify,46,PRM baseline missing unverified outcome for calibration split.,done
revision_prm_cal_missing_unverified_s48,dependency_sensitive,no_verify,48,PRM baseline missing unverified outcome for calibration split.,done
revision_prm_cal_missing_verified_s50,dependency_sensitive,always_verify,50,PRM baseline missing verified outcome for calibration split.,done
revision_prm_cal_missing_verified_s51,dependency_sensitive,always_verify,51,PRM baseline missing verified outcome for calibration split.,done
revision_prm_cal_missing_unverified_s54,dependency_sensitive,no_verify,54,PRM baseline missing unverified outcome for calibration split.,done
revision_prm_cal_missing_verified_s56,dependency_sensitive,always_verify,56,PRM baseline missing verified outcome for calibration split.,done
revision_prm_cal_missing_unverified_s57,dependency_sensitive,no_verify,57,PRM baseline missing unverified outcome for calibration split.,done
revision_prm_cal_missing_unverified_s58,dependency_sensitive,no_verify,58,PRM baseline missing unverified outcome for calibration split.,done
revision_prm_cal_missing_unverified_s63,dependency_sensitive,no_verify,63,PRM baseline missing unverified outcome for calibration split.,done
revision_prm_cal_missing_unverified_s68,dependency_sensitive,no_verify,68,PRM baseline missing unverified outcome for calibration split.,done
revision_prm_cal_missing_unverified_s69,dependency_sensitive,no_verify,69,PRM baseline missing unverified outcome for calibration split.,done
revision_prm_cal_missing_verified_s70,dependency_sensitive,always_verify,70,PRM baseline missing verified outcome for calibration split.,done
revision_prm_cal_missing_verified_s72,dependency_sensitive,always_verify,72,PRM baseline missing verified outcome for calibration split.,done
revision_prm_cal_missing_unverified_s77,dependency_sensitive,no_verify,77,PRM baseline missing unverified outcome for calibration split.,done
revision_prm_cal_missing_unverified_s78,dependency_sensitive,no_verify,78,PRM baseline missing unverified outcome for calibration split.,done
revision_prm_cal_missing_verified_s79,dependency_sensitive,always_verify,79,PRM baseline missing verified outcome for calibration split.,done
revision_prm_cal_missing_unverified_s82,dependency_sensitive,no_verify,82,PRM baseline missing unverified outcome for calibration split.,done
revision_prm_cal_missing_unverified_s83,dependency_sensitive,no_verify,83,PRM baseline missing unverified outcome for calibration split.,done
revision_prm_cal_missing_verified_s86,dependency_sensitive,always_verify,86,PRM baseline missing verified outcome for calibration split.,done
revision_prm_cal_missing_unverified_s94,dependency_sensitive,no_verify,94,PRM baseline missing unverified outcome for calibration split.,done
revision_prm_cal_missing_unverified_s97,dependency_sensitive,no_verify,97,PRM baseline missing unverified outcome for calibration split.,done
revision_prm_cal_missing_verified_s100,dependency_sensitive,always_verify,100,PRM baseline missing verified outcome for calibration split.,done
revision_prm_cal_missing_unverified_s101,dependency_sensitive,no_verify,101,PRM baseline missing unverified outcome for calibration split.,done
revision_prm_cal_missing_unverified_s102,dependency_sensitive,no_verify,102,PRM baseline missing unverified outcome for calibration split.,done
revision_prm_cal_missing_unverified_s104,dependency_sensitive,no_verify,104,PRM baseline missing unverified outcome for calibration split.,done
revision_prm_cal_missing_verified_s105,dependency_sensitive,always_verify,105,PRM baseline missing verified outcome for calibration split.,done
revision_prm_cal_missing_verified_s107,dependency_sensitive,always_verify,107,PRM baseline missing verified outcome for calibration split.,done
revision_prm_cal_missing_unverified_s108,dependency_sensitive,no_verify,108,PRM baseline missing unverified outcome for calibration split.,done
revision_prm_cal_missing_unverified_s109,dependency_sensitive,no_verify,109,PRM baseline missing unverified outcome for calibration split.,done
revision_prm_cal_missing_verified_s111,dependency_sensitive,always_verify,111,PRM baseline missing verified outcome for calibration split.,done
revision_prm_cal_missing_unverified_s112,dependency_sensitive,no_verify,112,PRM baseline missing unverified outcome for calibration split.,done
revision_prm_cal_missing_unverified_s114,dependency_sensitive,no_verify,114,PRM baseline missing unverified outcome for calibration split.,done
revision_prm_cal_missing_verified_s116,dependency_sensitive,always_verify,116,PRM baseline missing verified outcome for calibration split.,done
revision_prm_cal_missing_verified_s118,dependency_sensitive,always_verify,118,PRM baseline missing verified outcome for calibration split.,done
revision_prm_cal_missing_verified_s119,dependency_sensitive,always_verify,119,PRM baseline missing verified outcome for calibration split.,done
