episode_id,case,policy,seed,verify_used,corrected,success,irreversible_failure,verification_cost,net_reward,realized_reward,public_risk_label,public_risk_score,branch_harm_exact,reward_wrong_continuation,reward_corrected_continuation,reversibility,coupling_strength,mode,final_action,policy_score,p_score,harm_score,p_times_H_score,downstream_dependency_count,rollback_difficulty,persistent_state_risk,estimated_harm_score,downstream_failure_penalty,harm_profile,uncertainty_threshold,harm_threshold,random_verify_prob,notes
revision_depheld_p_only_s400,dep_sensitive_held_out,p_only,400,0,0,0,1,0.0,-25.8,-25.8,low,0.046,35.0,-25.8,9.2,partially_reversible,strong,direct,risky_patch,0.046,0.046,1.0,0.046,9,1.0,1,1.0,15.0,dependency_structural_heldout,0.6,0.45,0.5,"Ablation p_only: p >= 0.6000. p=0.0460, verify=False"
revision_depheld_p_only_s401,dep_sensitive_held_out,p_only,401,0,0,1,0,0.0,9.2,9.2,medium,0.472,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.472,0.472,1.0,0.472,12,0.7,1,1.0,15.0,dependency_structural_heldout,0.6,0.45,0.5,"Ablation p_only: p >= 0.6000. p=0.4720, verify=False"
revision_depheld_p_only_s402,dep_sensitive_held_out,p_only,402,0,0,1,0,0.0,9.2,9.2,low,0.112,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.112,0.112,0.963,0.107856,9,0.4,1,0.963,14.5375,dependency_structural_heldout,0.6,0.45,0.5,"Ablation p_only: p >= 0.6000. p=0.1120, verify=False"
revision_depheld_p_only_s403,dep_sensitive_held_out,p_only,403,0,0,1,0,0.0,9.2,9.2,low,0.269,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.269,0.269,0.995,0.26765500000000003,9,1.0,0,0.995,14.9375,dependency_structural_heldout,0.6,0.45,0.5,"Ablation p_only: p >= 0.6000. p=0.2690, verify=False"
revision_depheld_p_only_s404,dep_sensitive_held_out,p_only,404,0,0,1,0,0.0,9.2,9.2,low,0.069,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.069,0.069,0.688,0.047472,4,0.4,1,0.688,11.1,dependency_structural_heldout,0.6,0.45,0.5,"Ablation p_only: p >= 0.6000. p=0.0690, verify=False"
revision_depheld_p_only_s405,dep_sensitive_held_out,p_only,405,0,0,1,0,0.0,9.2,9.2,medium,0.42,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.42,0.42,1.0,0.42,12,0.4,1,1.0,15.0,dependency_structural_heldout,0.6,0.45,0.5,"Ablation p_only: p >= 0.6000. p=0.4200, verify=False"
revision_depheld_p_only_s406,dep_sensitive_held_out,p_only,406,0,0,1,0,0.0,9.2,9.2,low,0.238,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.238,0.238,0.494,0.117572,2,0.2,1,0.494,8.675,dependency_structural_heldout,0.6,0.45,0.5,"Ablation p_only: p >= 0.6000. p=0.2380, verify=False"
revision_depheld_p_only_s407,dep_sensitive_held_out,p_only,407,0,0,0,1,0.0,-22.3,-22.3,low,0.112,31.5,-22.3,9.2,partially_reversible,strong,direct,risky_patch,0.112,0.112,0.72,0.08064,4,1.0,0,0.72,11.5,dependency_structural_heldout,0.6,0.45,0.5,"Ablation p_only: p >= 0.6000. p=0.1120, verify=False"
revision_depheld_p_only_s408,dep_sensitive_held_out,p_only,408,0,0,1,0,0.0,5.6,5.6,low,0.059,3.5999999999999996,5.6,9.2,partially_reversible,strong,direct,risky_patch,0.059,0.059,0.484,0.028555999999999998,2,0.7,0,0.484,8.55,dependency_structural_heldout,0.6,0.45,0.5,"Ablation p_only: p >= 0.6000. p=0.0590, verify=False"
revision_depheld_p_only_s409,dep_sensitive_held_out,p_only,409,0,0,0,1,0.0,-25.3375,-25.3375,low,0.219,34.537499999999994,-25.3375,9.2,partially_reversible,strong,direct,risky_patch,0.219,0.219,0.963,0.210897,9,0.4,1,0.963,14.5375,dependency_structural_heldout,0.6,0.45,0.5,"Ablation p_only: p >= 0.6000. p=0.2190, verify=False"
revision_depheld_p_only_s410,dep_sensitive_held_out,p_only,410,0,0,0,1,0.0,-25.8,-25.8,low,0.339,35.0,-25.8,9.2,partially_reversible,strong,direct,risky_patch,0.339,0.339,1.0,0.339,12,0.7,1,1.0,15.0,dependency_structural_heldout,0.6,0.45,0.5,"Ablation p_only: p >= 0.6000. p=0.3390, verify=False"
revision_depheld_p_only_s411,dep_sensitive_held_out,p_only,411,0,0,1,0,0.0,9.2,9.2,medium,0.414,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.414,0.414,0.604,0.250056,4,0.2,1,0.604,10.05,dependency_structural_heldout,0.6,0.45,0.5,"Ablation p_only: p >= 0.6000. p=0.4140, verify=False"
revision_depheld_p_only_s412,dep_sensitive_held_out,p_only,412,0,0,1,0,0.0,5.6,5.6,medium,0.441,3.5999999999999996,5.6,9.2,partially_reversible,strong,direct,risky_patch,0.441,0.441,0.578,0.25489799999999996,2,0.4,1,0.578,9.725,dependency_structural_heldout,0.6,0.45,0.5,"Ablation p_only: p >= 0.6000. p=0.4410, verify=False"
revision_depheld_p_only_s413,dep_sensitive_held_out,p_only,413,0,0,0,1,0.0,-16.725,-16.725,medium,0.544,25.925,-16.725,9.2,partially_reversible,strong,direct,risky_patch,0.544,0.544,0.274,0.14905600000000002,2,0.2,0,0.274,5.925,dependency_structural_heldout,0.6,0.45,0.5,"Ablation p_only: p >= 0.6000. p=0.5440, verify=False"
revision_depheld_p_only_s414,dep_sensitive_held_out,p_only,414,0,0,0,1,0.0,-24.85,-24.85,medium,0.437,34.05,-24.85,9.2,partially_reversible,strong,direct,risky_patch,0.437,0.437,0.924,0.40378800000000004,6,0.7,1,0.924,14.05,dependency_structural_heldout,0.6,0.45,0.5,"Ablation p_only: p >= 0.6000. p=0.4370, verify=False"
revision_depheld_p_only_s415,dep_sensitive_held_out,p_only,415,0,0,1,0,0.0,9.2,9.2,low,0.327,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.327,0.327,0.869,0.284163,9,0.7,0,0.869,13.3625,dependency_structural_heldout,0.6,0.45,0.5,"Ablation p_only: p >= 0.6000. p=0.3270, verify=False"
revision_depheld_p_only_s416,dep_sensitive_held_out,p_only,416,0,0,1,0,0.0,5.6,5.6,low,0.371,3.5999999999999996,5.6,9.2,partially_reversible,strong,direct,risky_patch,0.371,0.371,0.494,0.183274,2,0.2,1,0.494,8.675,dependency_structural_heldout,0.6,0.45,0.5,"Ablation p_only: p >= 0.6000. p=0.3710, verify=False"
revision_depheld_p_only_s417,dep_sensitive_held_out,p_only,417,0,0,0,1,0.0,-22.3,-22.3,medium,0.433,31.5,-22.3,9.2,partially_reversible,strong,direct,risky_patch,0.433,0.433,0.72,0.31176,4,1.0,0,0.72,11.5,dependency_structural_heldout,0.6,0.45,0.5,"Ablation p_only: p >= 0.6000. p=0.4330, verify=False"
revision_depheld_p_only_s418,dep_sensitive_held_out,p_only,418,0,0,1,0,0.0,9.2,9.2,low,0.06,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.06,0.06,0.94,0.05639999999999999,4,1.0,1,0.94,14.25,dependency_structural_heldout,0.6,0.45,0.5,"Ablation p_only: p >= 0.6000. p=0.0600, verify=False"
revision_depheld_p_only_s419,dep_sensitive_held_out,p_only,419,0,0,1,0,0.0,9.2,9.2,low,0.379,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.379,0.379,0.358,0.135682,2,0.4,0,0.358,6.975,dependency_structural_heldout,0.6,0.45,0.5,"Ablation p_only: p >= 0.6000. p=0.3790, verify=False"
revision_depheld_p_only_s420,dep_sensitive_held_out,p_only,420,0,0,0,1,0.0,-23.6,-23.6,medium,0.408,32.8,-23.6,9.2,partially_reversible,strong,direct,risky_patch,0.408,0.408,0.824,0.33619199999999994,12,0.2,0,0.824,12.8,dependency_structural_heldout,0.6,0.45,0.5,"Ablation p_only: p >= 0.6000. p=0.4080, verify=False"
revision_depheld_p_only_s421,dep_sensitive_held_out,p_only,421,0,0,0,1,0.0,-25.8,-25.8,low,0.285,35.0,-25.8,9.2,partially_reversible,strong,direct,risky_patch,0.285,0.285,1.0,0.285,12,0.7,0,1.0,15.0,dependency_structural_heldout,0.6,0.45,0.5,"Ablation p_only: p >= 0.6000. p=0.2850, verify=False"
revision_depheld_p_only_s422,dep_sensitive_held_out,p_only,422,0,0,1,0,0.0,9.2,9.2,low,0.265,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.265,0.265,1.0,0.265,12,1.0,1,1.0,15.0,dependency_structural_heldout,0.6,0.45,0.5,"Ablation p_only: p >= 0.6000. p=0.2650, verify=False"
