episode_id,case,policy,seed,verify_used,corrected,success,irreversible_failure,verification_cost,net_reward,realized_reward,public_risk_label,public_risk_score,branch_harm_exact,reward_wrong_continuation,reward_corrected_continuation,reversibility,coupling_strength,mode,final_action,policy_score,p_score,harm_score,p_times_H_score,downstream_dependency_count,rollback_difficulty,persistent_state_risk,estimated_harm_score,downstream_failure_penalty,harm_profile,uncertainty_threshold,harm_threshold,random_verify_prob,notes
revision_depheld_always_verify_s400,dep_sensitive_held_out,always_verify,400,1,1,1,0,0.5,9.2,9.2,low,0.046,35.0,-25.8,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.046,1.0,0.046,9,1.0,1,1.0,15.0,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s401,dep_sensitive_held_out,always_verify,401,1,0,1,0,0.5,9.2,9.2,medium,0.472,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.472,1.0,0.472,12,0.7,1,1.0,15.0,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s402,dep_sensitive_held_out,always_verify,402,1,0,1,0,0.5,9.2,9.2,low,0.112,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.112,0.963,0.107856,9,0.4,1,0.963,14.5375,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s403,dep_sensitive_held_out,always_verify,403,1,0,1,0,0.5,9.2,9.2,low,0.269,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.269,0.995,0.26765500000000003,9,1.0,0,0.995,14.9375,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s404,dep_sensitive_held_out,always_verify,404,1,0,1,0,0.5,9.2,9.2,low,0.069,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.069,0.688,0.047472,4,0.4,1,0.688,11.1,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s405,dep_sensitive_held_out,always_verify,405,1,0,1,0,0.5,9.2,9.2,medium,0.42,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.42,1.0,0.42,12,0.4,1,1.0,15.0,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s406,dep_sensitive_held_out,always_verify,406,1,0,1,0,0.5,9.2,9.2,low,0.238,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.238,0.494,0.117572,2,0.2,1,0.494,8.675,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s407,dep_sensitive_held_out,always_verify,407,1,1,1,0,0.5,9.2,9.2,low,0.112,31.5,-22.3,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.112,0.72,0.08064,4,1.0,0,0.72,11.5,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s408,dep_sensitive_held_out,always_verify,408,1,1,1,0,0.5,9.2,9.2,low,0.059,3.5999999999999996,5.6,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.059,0.484,0.028555999999999998,2,0.7,0,0.484,8.55,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s409,dep_sensitive_held_out,always_verify,409,1,1,1,0,0.5,9.2,9.2,low,0.219,34.537499999999994,-25.3375,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.219,0.963,0.210897,9,0.4,1,0.963,14.5375,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s410,dep_sensitive_held_out,always_verify,410,1,1,1,0,0.5,9.2,9.2,low,0.339,35.0,-25.8,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.339,1.0,0.339,12,0.7,1,1.0,15.0,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s411,dep_sensitive_held_out,always_verify,411,1,0,1,0,0.5,9.2,9.2,medium,0.414,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.414,0.604,0.250056,4,0.2,1,0.604,10.05,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s412,dep_sensitive_held_out,always_verify,412,1,1,1,0,0.5,9.2,9.2,medium,0.441,3.5999999999999996,5.6,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.441,0.578,0.25489799999999996,2,0.4,1,0.578,9.725,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s413,dep_sensitive_held_out,always_verify,413,1,1,1,0,0.5,9.2,9.2,medium,0.544,25.925,-16.725,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.544,0.274,0.14905600000000002,2,0.2,0,0.274,5.925,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s414,dep_sensitive_held_out,always_verify,414,1,1,1,0,0.5,9.2,9.2,medium,0.437,34.05,-24.85,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.437,0.924,0.40378800000000004,6,0.7,1,0.924,14.05,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
