episode_id,case,slice_name,seed,policy,status
oc_dep_s20_uncertainty_matched,dependency_sensitive,dependency_sensitive,20,uncertainty_only_matched_budget,done
oc_dep_s20_harm,dependency_sensitive,dependency_sensitive,20,harm_aware_selective,done
oc_dep_s21_uncertainty_matched,dependency_sensitive,dependency_sensitive,21,uncertainty_only_matched_budget,done
oc_dep_s21_harm,dependency_sensitive,dependency_sensitive,21,harm_aware_selective,done
oc_dep_s22_uncertainty_matched,dependency_sensitive,dependency_sensitive,22,uncertainty_only_matched_budget,done
oc_dep_s22_harm,dependency_sensitive,dependency_sensitive,22,harm_aware_selective,done
oc_dep_s23_uncertainty_matched,dependency_sensitive,dependency_sensitive,23,uncertainty_only_matched_budget,done
oc_dep_s23_harm,dependency_sensitive,dependency_sensitive,23,harm_aware_selective,done
oc_dep_s24_uncertainty_matched,dependency_sensitive,dependency_sensitive,24,uncertainty_only_matched_budget,done
oc_dep_s24_harm,dependency_sensitive,dependency_sensitive,24,harm_aware_selective,done
oc_dep_s25_uncertainty_matched,dependency_sensitive,dependency_sensitive,25,uncertainty_only_matched_budget,done
oc_dep_s25_harm,dependency_sensitive,dependency_sensitive,25,harm_aware_selective,done
oc_dep_s26_uncertainty_matched,dependency_sensitive,dependency_sensitive,26,uncertainty_only_matched_budget,done
oc_dep_s26_harm,dependency_sensitive,dependency_sensitive,26,harm_aware_selective,done
oc_dep_s27_uncertainty_matched,dependency_sensitive,dependency_sensitive,27,uncertainty_only_matched_budget,done
oc_dep_s27_harm,dependency_sensitive,dependency_sensitive,27,harm_aware_selective,done
oc_dep_s28_uncertainty_matched,dependency_sensitive,dependency_sensitive,28,uncertainty_only_matched_budget,done
oc_dep_s28_harm,dependency_sensitive,dependency_sensitive,28,harm_aware_selective,done
oc_dep_s29_uncertainty_matched,dependency_sensitive,dependency_sensitive,29,uncertainty_only_matched_budget,done
oc_dep_s29_harm,dependency_sensitive,dependency_sensitive,29,harm_aware_selective,done
oc_dep_s30_uncertainty_matched,dependency_sensitive,dependency_sensitive,30,uncertainty_only_matched_budget,done
oc_dep_s30_harm,dependency_sensitive,dependency_sensitive,30,harm_aware_selective,done
oc_dep_s31_uncertainty_matched,dependency_sensitive,dependency_sensitive,31,uncertainty_only_matched_budget,done
oc_dep_s31_harm,dependency_sensitive,dependency_sensitive,31,harm_aware_selective,done
oc_dep_s32_uncertainty_matched,dependency_sensitive,dependency_sensitive,32,uncertainty_only_matched_budget,done
oc_dep_s32_harm,dependency_sensitive,dependency_sensitive,32,harm_aware_selective,done
oc_dep_s33_uncertainty_matched,dependency_sensitive,dependency_sensitive,33,uncertainty_only_matched_budget,done
