episode_id,case,slice_name,seed,policy,status
oc_dep_s20_p_only,dependency_sensitive,dependency_sensitive,20,p_only,done
oc_dep_s21_p_only,dependency_sensitive,dependency_sensitive,21,p_only,done
oc_dep_s22_p_only,dependency_sensitive,dependency_sensitive,22,p_only,done
oc_dep_s23_p_only,dependency_sensitive,dependency_sensitive,23,p_only,done
oc_dep_s24_p_only,dependency_sensitive,dependency_sensitive,24,p_only,done
oc_dep_s25_p_only,dependency_sensitive,dependency_sensitive,25,p_only,done
oc_dep_s26_p_only,dependency_sensitive,dependency_sensitive,26,p_only,done
oc_dep_s27_p_only,dependency_sensitive,dependency_sensitive,27,p_only,done
oc_dep_s28_p_only,dependency_sensitive,dependency_sensitive,28,p_only,done
oc_dep_s29_p_only,dependency_sensitive,dependency_sensitive,29,p_only,done
oc_dep_s30_p_only,dependency_sensitive,dependency_sensitive,30,p_only,done
oc_dep_s31_p_only,dependency_sensitive,dependency_sensitive,31,p_only,done
oc_dep_s32_p_only,dependency_sensitive,dependency_sensitive,32,p_only,done
oc_dep_s33_p_only,dependency_sensitive,dependency_sensitive,33,p_only,done
oc_dep_s34_p_only,dependency_sensitive,dependency_sensitive,34,p_only,done
oc_dep_s35_p_only,dependency_sensitive,dependency_sensitive,35,p_only,done
oc_dep_s36_p_only,dependency_sensitive,dependency_sensitive,36,p_only,done
oc_dep_s37_p_only,dependency_sensitive,dependency_sensitive,37,p_only,done
oc_dep_s38_p_only,dependency_sensitive,dependency_sensitive,38,p_only,done
oc_dep_s39_p_only,dependency_sensitive,dependency_sensitive,39,p_only,done
oc_dep_s40_p_only,dependency_sensitive,dependency_sensitive,40,p_only,done
oc_dep_s41_p_only,dependency_sensitive,dependency_sensitive,41,p_only,done
oc_dep_s42_p_only,dependency_sensitive,dependency_sensitive,42,p_only,done
oc_dep_s43_p_only,dependency_sensitive,dependency_sensitive,43,p_only,done
oc_dep_s44_p_only,dependency_sensitive,dependency_sensitive,44,p_only,done
oc_dep_s45_p_only,dependency_sensitive,dependency_sensitive,45,p_only,done
oc_dep_s46_p_only,dependency_sensitive,dependency_sensitive,46,p_only,done
oc_dep_s47_p_only,dependency_sensitive,dependency_sensitive,47,p_only,done
oc_dep_s48_p_only,dependency_sensitive,dependency_sensitive,48,p_only,done
oc_dep_s49_p_only,dependency_sensitive,dependency_sensitive,49,p_only,done
oc_dep_s50_p_only,dependency_sensitive,dependency_sensitive,50,p_only,done
oc_dep_s51_p_only,dependency_sensitive,dependency_sensitive,51,p_only,done
oc_dep_s52_p_only,dependency_sensitive,dependency_sensitive,52,p_only,done
oc_dep_s53_p_only,dependency_sensitive,dependency_sensitive,53,p_only,done
oc_dep_s54_p_only,dependency_sensitive,dependency_sensitive,54,p_only,done
oc_dep_s55_p_only,dependency_sensitive,dependency_sensitive,55,p_only,done
oc_dep_s56_p_only,dependency_sensitive,dependency_sensitive,56,p_only,done
oc_dep_s57_p_only,dependency_sensitive,dependency_sensitive,57,p_only,done
oc_dep_s58_p_only,dependency_sensitive,dependency_sensitive,58,p_only,done
oc_dep_s59_p_only,dependency_sensitive,dependency_sensitive,59,p_only,done
oc_dep_s60_p_only,dependency_sensitive,dependency_sensitive,60,p_only,done
oc_dep_s61_p_only,dependency_sensitive,dependency_sensitive,61,p_only,done
oc_dep_s62_p_only,dependency_sensitive,dependency_sensitive,62,p_only,done
oc_dep_s63_p_only,dependency_sensitive,dependency_sensitive,63,p_only,done
oc_dep_s64_p_only,dependency_sensitive,dependency_sensitive,64,p_only,done
oc_dep_s65_p_only,dependency_sensitive,dependency_sensitive,65,p_only,done
oc_dep_s66_p_only,dependency_sensitive,dependency_sensitive,66,p_only,done
oc_dep_s67_p_only,dependency_sensitive,dependency_sensitive,67,p_only,done
oc_dep_s68_p_only,dependency_sensitive,dependency_sensitive,68,p_only,done
oc_dep_s69_p_only,dependency_sensitive,dependency_sensitive,69,p_only,done
