episode_id,case,slice_name,seed,policy,status
oc_dep_s20_pH,dependency_sensitive,dependency_sensitive,20,p_times_H,done
oc_dep_s21_pH,dependency_sensitive,dependency_sensitive,21,p_times_H,done
oc_dep_s22_pH,dependency_sensitive,dependency_sensitive,22,p_times_H,done
oc_dep_s23_pH,dependency_sensitive,dependency_sensitive,23,p_times_H,done
oc_dep_s24_pH,dependency_sensitive,dependency_sensitive,24,p_times_H,done
oc_dep_s25_pH,dependency_sensitive,dependency_sensitive,25,p_times_H,done
oc_dep_s26_pH,dependency_sensitive,dependency_sensitive,26,p_times_H,done
oc_dep_s27_pH,dependency_sensitive,dependency_sensitive,27,p_times_H,done
oc_dep_s28_pH,dependency_sensitive,dependency_sensitive,28,p_times_H,done
oc_dep_s29_pH,dependency_sensitive,dependency_sensitive,29,p_times_H,done
oc_dep_s30_pH,dependency_sensitive,dependency_sensitive,30,p_times_H,done
oc_dep_s31_pH,dependency_sensitive,dependency_sensitive,31,p_times_H,done
oc_dep_s32_pH,dependency_sensitive,dependency_sensitive,32,p_times_H,done
oc_dep_s33_pH,dependency_sensitive,dependency_sensitive,33,p_times_H,done
oc_dep_s34_pH,dependency_sensitive,dependency_sensitive,34,p_times_H,done
oc_dep_s35_pH,dependency_sensitive,dependency_sensitive,35,p_times_H,done
oc_dep_s36_pH,dependency_sensitive,dependency_sensitive,36,p_times_H,done
oc_dep_s37_pH,dependency_sensitive,dependency_sensitive,37,p_times_H,done
oc_dep_s38_pH,dependency_sensitive,dependency_sensitive,38,p_times_H,done
oc_dep_s39_pH,dependency_sensitive,dependency_sensitive,39,p_times_H,done
oc_dep_s40_pH,dependency_sensitive,dependency_sensitive,40,p_times_H,done
oc_dep_s41_pH,dependency_sensitive,dependency_sensitive,41,p_times_H,done
oc_dep_s42_pH,dependency_sensitive,dependency_sensitive,42,p_times_H,done
oc_dep_s43_pH,dependency_sensitive,dependency_sensitive,43,p_times_H,done
oc_dep_s44_pH,dependency_sensitive,dependency_sensitive,44,p_times_H,done
oc_dep_s45_pH,dependency_sensitive,dependency_sensitive,45,p_times_H,done
oc_dep_s46_pH,dependency_sensitive,dependency_sensitive,46,p_times_H,done
oc_dep_s47_pH,dependency_sensitive,dependency_sensitive,47,p_times_H,done
oc_dep_s48_pH,dependency_sensitive,dependency_sensitive,48,p_times_H,done
oc_dep_s49_pH,dependency_sensitive,dependency_sensitive,49,p_times_H,done
oc_dep_s50_pH,dependency_sensitive,dependency_sensitive,50,p_times_H,done
oc_dep_s51_pH,dependency_sensitive,dependency_sensitive,51,p_times_H,done
oc_dep_s52_pH,dependency_sensitive,dependency_sensitive,52,p_times_H,done
oc_dep_s53_pH,dependency_sensitive,dependency_sensitive,53,p_times_H,done
oc_dep_s54_pH,dependency_sensitive,dependency_sensitive,54,p_times_H,done
oc_dep_s55_pH,dependency_sensitive,dependency_sensitive,55,p_times_H,done
oc_dep_s56_pH,dependency_sensitive,dependency_sensitive,56,p_times_H,done
oc_dep_s57_pH,dependency_sensitive,dependency_sensitive,57,p_times_H,done
oc_dep_s58_pH,dependency_sensitive,dependency_sensitive,58,p_times_H,done
oc_dep_s59_pH,dependency_sensitive,dependency_sensitive,59,p_times_H,done
oc_dep_s60_pH,dependency_sensitive,dependency_sensitive,60,p_times_H,done
oc_dep_s61_pH,dependency_sensitive,dependency_sensitive,61,p_times_H,done
oc_dep_s62_pH,dependency_sensitive,dependency_sensitive,62,p_times_H,done
oc_dep_s63_pH,dependency_sensitive,dependency_sensitive,63,p_times_H,done
oc_dep_s64_pH,dependency_sensitive,dependency_sensitive,64,p_times_H,done
oc_dep_s65_pH,dependency_sensitive,dependency_sensitive,65,p_times_H,done
oc_dep_s66_pH,dependency_sensitive,dependency_sensitive,66,p_times_H,done
oc_dep_s67_pH,dependency_sensitive,dependency_sensitive,67,p_times_H,done
oc_dep_s68_pH,dependency_sensitive,dependency_sensitive,68,p_times_H,done
oc_dep_s69_pH,dependency_sensitive,dependency_sensitive,69,p_times_H,done
